field_1;Wahlbezirk;Wahlkreis;Wahlberechtigte;Wähler;gültige_1;CDU_1;DIE LINKE_1;SPD_1;AfD_1;GRÜNE_1;FDP_1;Die PARTEI_1;BüSo_1;gültige_2;CDU_2;DIE LINKE_2;SPD_2;AfD_2;GRÜNE_2;NPD_2;FDP_2;FREIE WÄHLER_2;Tierschutzpartei_2;PIRATEN_2 Deutschland;Die PARTEI_2;BüSo_2;ADPM_2;Blaue #TeamPetry_2;KPD_2;ÖDP_2;Die Humanisten_2;PDV_2;Gesundheitsforschung_2
"0";"01100";"45.0";"1333";"506";"501";"139";"110";"26";"85";"93";"32";"16.0";"0.0";"504";"140";"83";"35";"85";"83";"1";"37";"5";"4";"2";"17";"0";"0";"2";"0";"1";"6";"0";"3"
"1";"02100";"45.0";"1332";"498";"492";"87";"145";"31";"79";"100";"21";"26.0";"3.0";"491";"87";"113";"43";"74";"96";"2";"24";"8";"5";"9";"19";"1";"0";"0";"1";"5";"2";"0";"2"
"2";"02200";"45.0";"1700";"658";"646";"161";"152";"33";"141";"100";"29";"26.0";"4.0";"650";"165";"114";"53";"137";"91";"1";"26";"10";"8";"6";"15";"1";"0";"2";"2";"7";"9";"1";"2"
"3";"2400";"45.0";"1390";"489";"485";"134";"78";"38";"138";"52";"33";"8.0";"4.0";"485";"140";"61";"47";"129";"38";"2";"29";"12";"7";"3";"7";"1";"0";"1";"0";"4";"0";"0";"4"
"4";"03100";"45.0";"1219";"501";"492";"121";"85";"34";"111";"84";"27";"27.0";"3.0";"496";"112";"70";"48";"105";"72";"2";"30";"8";"10";"6";"17";"2";"2";"1";"0";"2";"6";"1";"2"
"5";"03200";"45.0";"1203";"487";"480";"128";"117";"27";"114";"51";"20";"19.0";"4.0";"480";"116";"87";"46";"111";"59";"0";"18";"9";"2";"3";"18";"1";"0";"1";"2";"3";"3";"0";"1"
"6";"03300";"45.0";"1272";"567";"551";"171";"103";"29";"115";"84";"33";"13.0";"3.0";"560";"186";"82";"49";"106";"66";"0";"30";"13";"12";"0";"11";"0";"1";"1";"1";"0";"1";"0";"1"
"7";"03401";"45.0";"1268";"485";"474";"136";"89";"39";"127";"49";"23";"7.0";"4.0";"481";"139";"67";"38";"118";"48";"1";"32";"11";"10";"0";"5";"0";"2";"0";"1";"4";"3";"0";"2"
"8";"03402";"45.0";"711";"313";"310";"105";"25";"19";"80";"54";"19";"4.0";"4.0";"310";"107";"20";"28";"71";"40";"1";"19";"8";"4";"1";"6";"1";"0";"0";"0";"2";"1";"0";"1"
"9";"04100";"47.0";"1399";"492";"487";"148";"51";"35";"81";"115";"35";"20.0";"2.0";"488";"135";"44";"47";"74";"104";"2";"40";"9";"5";"4";"14";"2";"0";"0";"0";"2";"4";"0";"2"
"10";"04200";"47.0";"1263";"452";"449";"131";"53";"33";"108";"76";"32";"15.0";"1.0";"449";"126";"54";"44";"99";"61";"2";"30";"7";"5";"3";"8";"0";"0";"3";"1";"1";"0";"2";"3"
"11";"04300";"47.0";"1284";"492";"482";"138";"74";"37";"138";"54";"23";"17.0";"1.0";"486";"129";"65";"32";"135";"63";"2";"21";"15";"2";"4";"9";"3";"0";"0";"0";"2";"0";"0";"4"
"12";"04400";"47.0";"1170";"375";"372";"96";"64";"26";"91";"52";"25";"15.0";"3.0";"372";"97";"63";"31";"87";"40";"0";"22";"11";"5";"2";"9";"0";"1";"0";"0";"0";"3";"0";"1"
"13";"04500";"47.0";"960";"376";"368";"87";"68";"27";"114";"48";"8";"12.0";"4.0";"370";"73";"64";"32";"110";"44";"2";"12";"12";"2";"3";"6";"0";"0";"1";"1";"0";"3";"0";"5"
"14";"04600";"47.0";"904";"397";"388";"114";"59";"38";"104";"32";"25";"14.0";"2.0";"393";"109";"55";"43";"101";"28";"3";"23";"11";"4";"2";"5";"1";"0";"0";"1";"2";"3";"1";"1"
"15";"05101";"47.0";"779";"270";"267";"57";"36";"26";"72";"47";"15";"13.0";"1.0";"268";"52";"38";"24";"71";"37";"0";"17";"5";"8";"1";"10";"1";"1";"0";"0";"1";"0";"0";"2"
"16";"05102";"47.0";"1261";"498";"497";"112";"74";"43";"67";"141";"20";"38.0";"2.0";"497";"103";"65";"39";"62";"131";"0";"30";"7";"10";"7";"27";"2";"2";"1";"0";"5";"3";"1";"2"
"17";"05200";"47.0";"1486";"510";"506";"63";"113";"23";"67";"174";"24";"38.0";"4.0";"508";"49";"98";"29";"62";"156";"1";"21";"19";"9";"14";"30";"3";"0";"3";"0";"4";"5";"1";"4"
"18";"05301";"47.0";"1698";"554";"550";"102";"87";"44";"76";"164";"28";"44.0";"5.0";"552";"88";"91";"47";"68";"158";"2";"33";"14";"9";"3";"23";"5";"3";"0";"0";"5";"1";"0";"2"
"19";"05302";"47.0";"1057";"348";"348";"52";"72";"24";"92";"69";"22";"15.0";"2.0";"348";"51";"69";"23";"89";"55";"1";"21";"7";"7";"4";"12";"0";"0";"1";"0";"2";"2";"0";"4"
"20";"06100";"45.0";"1005";"559";"552";"185";"95";"46";"150";"42";"19";"13.0";"2.0";"556";"185";"74";"51";"143";"31";"3";"30";"7";"7";"4";"10";"0";"1";"3";"2";"1";"0";"1";"3"
"21";"06200";"45.0";"1099";"462";"442";"99";"84";"27";"114";"96";"14";"7.0";"1.0";"447";"109";"73";"36";"107";"75";"0";"19";"6";"7";"2";"2";"1";"0";"1";"0";"4";"1";"1";"3"
"22";"06300";"45.0";"706";"274";"272";"56";"57";"20";"92";"24";"14";"8.0";"1.0";"271";"61";"42";"15";"90";"21";"0";"21";"6";"5";"3";"5";"0";"1";"0";"0";"0";"1";"0";"0"
"23";"6400";"45.0";"1152";"487";"480";"108";"83";"48";"122";"90";"19";"8.0";"2.0";"480";"127";"63";"50";"109";"80";"2";"23";"6";"7";"1";"8";"0";"1";"0";"0";"1";"1";"0";"1"
"24";"6500";"45.0";"926";"444";"444";"90";"61";"36";"68";"150";"22";"13.0";"4.0";"444";"106";"52";"42";"63";"125";"1";"21";"15";"3";"6";"6";"0";"1";"0";"0";"1";"1";"0";"1"
"25";"6600";"45.0";"1463";"566";"558";"152";"108";"31";"119";"109";"21";"18.0";"0.0";"559";"133";"69";"48";"117";"118";"0";"33";"14";"3";"4";"13";"1";"0";"1";"0";"0";"2";"1";"2"
"26";"6700";"45.0";"820";"353";"351";"71";"50";"34";"48";"117";"13";"17.0";"1.0";"351";"74";"42";"48";"44";"105";"2";"10";"8";"3";"0";"7";"0";"0";"1";"0";"3";"3";"0";"1"
"27";"06800";"45.0";"1686";"566";"557";"127";"95";"47";"79";"166";"29";"12.0";"2.0";"562";"138";"71";"58";"72";"141";"0";"39";"8";"7";"5";"10";"1";"0";"1";"0";"2";"2";"0";"7"
"28";"07100";"45.0";"1160";"508";"500";"168";"75";"22";"131";"59";"28";"13.0";"4.0";"504";"172";"64";"21";"121";"44";"3";"26";"13";"5";"8";"14";"1";"0";"1";"0";"6";"4";"0";"1"
"29";"07200";"45.0";"921";"460";"449";"148";"77";"29";"135";"29";"26";"3.0";"2.0";"455";"156";"62";"33";"122";"25";"2";"32";"9";"3";"0";"2";"1";"2";"2";"0";"0";"1";"0";"3"
"30";"7300";"45.0";"1203";"450";"442";"115";"88";"30";"120";"45";"30";"10.0";"4.0";"444";"116";"56";"39";"110";"39";"3";"35";"15";"7";"3";"9";"1";"2";"3";"0";"1";"2";"0";"3"
"31";"7400";"45.0";"1583";"628";"615";"204";"93";"33";"192";"49";"31";"12.0";"1.0";"617";"212";"79";"41";"190";"33";"3";"32";"9";"7";"0";"6";"1";"0";"0";"0";"0";"2";"0";"2"
"32";"7500";"45.0";"1233";"461";"444";"122";"92";"35";"126";"31";"20";"16.0";"2.0";"450";"126";"74";"39";"121";"28";"2";"26";"5";"4";"2";"12";"2";"1";"1";"1";"2";"1";"0";"3"
"33";"7600";"45.0";"945";"393";"383";"118";"73";"31";"110";"23";"21";"7.0";"0.0";"384";"119";"60";"34";"107";"18";"1";"21";"5";"6";"1";"5";"0";"2";"1";"1";"0";"0";"0";"3"
"34";"7700";"45.0";"844";"357";"352";"73";"84";"26";"92";"45";"19";"10.0";"3.0";"352";"84";"77";"32";"82";"31";"1";"15";"10";"2";"1";"13";"0";"1";"1";"0";"2";"0";"0";"0"
"35";"7800";"45.0";"959";"414";"408";"99";"94";"17";"113";"53";"21";"9.0";"2.0";"409";"113";"66";"29";"99";"45";"1";"19";"10";"4";"3";"13";"1";"0";"0";"2";"2";"1";"0";"1"
"36";"7900";"45.0";"1042";"487";"475";"143";"77";"32";"135";"49";"30";"8.0";"1.0";"480";"152";"62";"27";"135";"35";"2";"27";"12";"7";"2";"11";"0";"0";"2";"1";"1";"2";"0";"2"
"37";"11100";"41.0";"1718";"539";"535";"63";"102";"78";"26";"222";"12";"32.0";;"538";"67";"109";"61";"25";"205";"1";"13";"2";"1";"7";"35";"0";"0";"1";"3";"4";"2";"2";"0"
"38";"11200";"41.0";"1295";"468";"463";"46";"106";"48";"25";"201";"10";"27.0";;"462";"48";"94";"56";"21";"183";"0";"15";"3";"7";"3";"21";"0";"1";"1";"1";"0";"6";"1";"1"
"39";"11300";"41.0";"1246";"553";"546";"62";"117";"60";"42";"213";"15";"37.0";;"547";"77";"123";"53";"42";"179";"1";"18";"4";"7";"4";"29";"0";"0";"0";"1";"2";"5";"1";"1"
"40";"11401";"41.0";"794";"335";"331";"32";"78";"35";"17";"139";"6";"24.0";;"335";"32";"65";"37";"20";"129";"0";"7";"4";"2";"4";"25";"0";"0";"1";"1";"1";"7";"0";"0"
"41";"11402";"41.0";"969";"371";"371";"51";"72";"50";"40";"123";"7";"28.0";;"371";"45";"63";"45";"38";"123";"0";"13";"8";"5";"3";"19";"0";"0";"1";"1";"4";"1";"1";"1"
"42";"11500";"41.0";"1554";"645";"642";"54";"131";"72";"39";"294";"9";"43.0";;"642";"55";"113";"68";"41";"276";"1";"13";"5";"9";"6";"46";"1";"0";"1";"0";"2";"3";"0";"2"
"43";"11601";"41.0";"1164";"488";"488";"55";"95";"45";"18";"243";"8";"24.0";;"487";"61";"95";"46";"17";"213";"1";"12";"6";"5";"8";"19";"0";"0";"1";"0";"2";"0";"0";"1"
"44";"11602";"41.0";"1393";"603";"599";"53";"123";"53";"37";"292";"12";"29.0";;"598";"44";"119";"62";"35";"271";"1";"21";"4";"5";"7";"23";"0";"0";"1";"0";"2";"3";"0";"0"
"45";"11700";"41.0";"1356";"544";"540";"47";"107";"47";"34";"281";"4";"20.0";;"543";"51";"99";"47";"29";"256";"2";"10";"6";"7";"3";"21";"0";"0";"1";"0";"8";"3";"0";"0"
"46";"11800";"41.0";"1599";"512";"510";"71";"111";"45";"34";"200";"13";"36.0";;"510";"69";"106";"56";"31";"179";"0";"14";"7";"5";"7";"27";"0";"0";"1";"0";"3";"4";"0";"1"
"47";"12100";"41.0";"918";"440";"433";"84";"61";"46";"49";"160";"17";"16.0";;"438";"91";"61";"52";"43";"142";"0";"19";"8";"4";"1";"9";"0";"0";"2";"0";"2";"2";"0";"2"
"48";"12201";"41.0";"1073";"504";"501";"122";"53";"51";"65";"180";"15";"15.0";;"504";"117";"52";"46";"64";"171";"0";"27";"4";"7";"4";"9";"0";"0";"1";"0";"1";"1";"0";"0"
"49";"12202";"41.0";"1084";"479";"476";"124";"45";"49";"74";"150";"28";"6.0";;"478";"118";"41";"59";"69";"119";"2";"40";"14";"1";"3";"7";"1";"0";"3";"0";"0";"0";"1";"0"
"50";"12301";"41.0";"1086";"503";"499";"125";"77";"33";"95";"111";"39";"19.0";;"499";"120";"63";"42";"86";"100";"1";"38";"14";"5";"5";"10";"0";"2";"1";"1";"2";"7";"0";"2"
"51";"12302";"41.0";"955";"464";"461";"133";"58";"39";"72";"122";"24";"13.0";;"461";"126";"61";"37";"62";"105";"4";"37";"7";"6";"2";"7";"0";"0";"0";"2";"2";"1";"0";"2"
"52";"12400";"41.0";"1320";"562";"552";"119";"115";"31";"162";"65";"23";"37.0";;"557";"93";"100";"29";"142";"67";"6";"36";"19";"21";"7";"18";"0";"5";"4";"0";"3";"4";"0";"3"
"53";"13100";"45.0";"1292";"481";"473";"106";"84";"41";"65";"141";"19";"15.0";"2.0";"476";"117";"70";"39";"62";"130";"0";"23";"7";"3";"1";"10";"0";"0";"3";"0";"3";"6";"0";"2"
"54";"13200";"45.0";"1165";"439";"428";"103";"98";"35";"100";"60";"18";"8.0";"6.0";"433";"113";"78";"33";"95";"59";"0";"18";"14";"4";"5";"6";"1";"2";"1";"0";"2";"0";"1";"1"
"55";"13300";"45.0";"1352";"556";"551";"77";"94";"43";"65";"212";"26";"31.0";"3.0";"551";"82";"74";"80";"62";"176";"1";"26";"12";"4";"5";"24";"0";"2";"1";"0";"2";"0";"0";"0"
"56";"13400";"45.0";"1665";"545";"541";"121";"111";"42";"68";"149";"22";"25.0";"3.0";"542";"128";"78";"48";"65";"139";"0";"28";"10";"3";"5";"21";"1";"1";"0";"0";"5";"6";"2";"2"
"57";"14100";"45.0";"1032";"398";"396";"59";"112";"16";"66";"107";"11";"24.0";"1.0";"397";"48";"97";"26";"66";"88";"2";"15";"8";"8";"5";"26";"0";"0";"1";"0";"4";"3";"0";"0"
"58";"14200";"45.0";"1676";"617";"616";"54";"191";"33";"45";"248";"11";"31.0";"3.0";"617";"59";"163";"51";"43";"229";"0";"10";"10";"6";"7";"30";"0";"0";"4";"0";"1";"2";"0";"2"
"59";"14300";"45.0";"1583";"580";"576";"36";"166";"30";"35";"258";"7";"43.0";"1.0";"576";"47";"145";"54";"33";"222";"1";"9";"2";"9";"7";"36";"0";"0";"2";"2";"3";"3";"0";"1"
"60";"14401";"45.0";"1420";"632";"630";"43";"153";"33";"51";"287";"6";"55.0";"2.0";"631";"50";"133";"67";"50";"229";"0";"7";"9";"11";"13";"52";"0";"0";"0";"0";"6";"2";"1";"1"
"61";"14402";"45.0";"1306";"579";"576";"52";"134";"54";"36";"258";"13";"28.0";"1.0";"577";"70";"111";"60";"35";"238";"0";"12";"5";"5";"4";"29";"1";"0";"0";"1";"0";"6";"0";"0"
"62";"14500";"45.0";"1348";"645";"638";"76";"145";"46";"94";"219";"19";"36.0";"3.0";"639";"80";"122";"59";"89";"187";"0";"19";"20";"10";"13";"28";"0";"0";"0";"0";"3";"5";"0";"4"
"63";"14600";"45.0";"1252";"592";"588";"156";"93";"26";"165";"89";"35";"22.0";"2.0";"588";"168";"70";"40";"151";"74";"2";"38";"8";"7";"6";"11";"2";"5";"2";"0";"1";"1";"1";"1"
"64";"15100";"41.0";"1483";"520";"518";"118";"73";"48";"67";"170";"22";"20.0";;"519";"131";"51";"43";"67";"156";"0";"25";"4";"10";"5";"23";"0";"0";"0";"0";"0";"1";"0";"3"
"65";"15300";"41.0";"811";"361";"357";"84";"59";"33";"55";"94";"20";"12.0";;"355";"67";"62";"42";"50";"80";"6";"26";"4";"4";"1";"9";"0";"1";"1";"0";"1";"1";"0";"0"
"66";"21100";"47.0";"1237";"499";"498";"77";"107";"33";"73";"142";"19";"44.0";"3.0";"499";"65";"99";"47";"67";"120";"2";"26";"8";"13";"7";"32";"2";"1";"0";"1";"3";"2";"3";"1"
"67";"21200";"47.0";"1354";"559";"554";"93";"116";"38";"110";"135";"23";"36.0";"3.0";"556";"81";"100";"34";"107";"130";"3";"27";"7";"11";"7";"30";"0";"2";"1";"2";"3";"2";"2";"7"
"68";"21301";"47.0";"910";"418";"414";"76";"59";"42";"76";"114";"25";"22.0";"0.0";"415";"76";"49";"36";"69";"109";"2";"23";"18";"4";"7";"13";"0";"0";"2";"0";"4";"2";"0";"1"
"69";"21302";"47.0";"1594";"624";"612";"95";"114";"40";"110";"172";"29";"48.0";"4.0";"619";"83";"94";"57";"109";"154";"2";"32";"19";"15";"6";"34";"2";"2";"1";"0";"4";"4";"0";"1"
"70";"21303";"47.0";"899";"351";"349";"66";"49";"32";"58";"94";"19";"29.0";"2.0";"351";"63";"43";"32";"53";"97";"1";"16";"13";"7";"1";"18";"0";"2";"0";"0";"0";"4";"0";"1"
"71";"21400";"47.0";"1425";"550";"542";"88";"83";"46";"102";"171";"14";"34.0";"4.0";"546";"83";"71";"54";"94";"163";"1";"14";"11";"5";"9";"24";"2";"0";"2";"1";"2";"5";"0";"5"
"72";"21500";"47.0";"1495";"606";"594";"93";"100";"43";"125";"161";"23";"44.0";"5.0";"598";"80";"77";"52";"122";"152";"6";"23";"23";"5";"8";"38";"1";"1";"1";"0";"3";"0";"1";"5"
"73";"22100";"47.0";"1592";"697";"689";"160";"104";"67";"156";"121";"32";"41.0";"8.0";"693";"142";"95";"68";"149";"120";"2";"38";"14";"11";"5";"33";"4";"0";"1";"1";"5";"0";"1";"4"
"74";"22200";"47.0";"1406";"536";"531";"120";"69";"26";"164";"72";"28";"47.0";"5.0";"531";"107";"71";"29";"152";"57";"2";"26";"26";"12";"4";"27";"1";"1";"2";"0";"1";"6";"2";"5"
"75";"22300";"47.0";"1242";"515";"513";"122";"78";"35";"155";"61";"26";"32.0";"4.0";"513";"119";"69";"37";"152";"50";"0";"24";"17";"11";"5";"16";"1";"1";"0";"0";"4";"5";"0";"2"
"76";"22400";"47.0";"897";"413";"406";"113";"43";"23";"172";"21";"20";"7.0";"7.0";"409";"94";"42";"26";"161";"20";"4";"27";"13";"7";"0";"6";"3";"2";"0";"0";"2";"1";"1";"0"
"77";"22501";"47.0";"1200";"577";"569";"142";"71";"44";"184";"67";"25";"26.0";"10.0";"573";"130";"56";"55";"170";"64";"4";"28";"21";"7";"5";"17";"4";"0";"0";"0";"3";"1";"0";"8"
"78";"22502";"47.0";"1662";"722";"716";"190";"99";"59";"160";"117";"32";"53.0";"6.0";"716";"172";"80";"63";"148";"119";"0";"33";"28";"21";"5";"29";"1";"4";"6";"0";"2";"5";"0";"0"
"79";"22600";"47.0";"1082";"533";"527";"124";"47";"38";"185";"67";"43";"19.0";"4.0";"530";"111";"45";"43";"163";"53";"5";"33";"37";"14";"8";"10";"0";"3";"1";"0";"0";"0";"0";"4"
"80";"22700";"47.0";"1173";"563";"556";"172";"60";"31";"193";"44";"31";"22.0";"3.0";"556";"141";"58";"41";"184";"48";"0";"27";"24";"5";"2";"11";"0";"0";"3";"1";"2";"0";"6";"3"
"81";"23100";"47.0";"1068";"468";"463";"123";"38";"14";"177";"49";"28";"32.0";"2.0";"464";"108";"42";"10";"164";"48";"3";"23";"19";"7";"1";"27";"2";"4";"0";"3";"1";"0";"1";"1"
"82";"23200";"47.0";"1232";"481";"475";"97";"51";"43";"167";"52";"33";"28.0";"4.0";"476";"93";"44";"41";"157";"41";"2";"33";"19";"14";"1";"19";"1";"1";"1";"2";"3";"4";"0";"0"
"83";"23300";"47.0";"1060";"563";"556";"221";"28";"33";"186";"52";"25";"9.0";"2.0";"559";"200";"27";"36";"175";"52";"0";"38";"14";"3";"0";"7";"3";"0";"2";"0";"0";"1";"0";"1"
"84";"23400";"47.0";"1044";"549";"535";"176";"58";"36";"185";"30";"36";"11.0";"3.0";"538";"147";"44";"44";"179";"38";"3";"41";"10";"10";"3";"9";"0";"0";"3";"0";"2";"1";"0";"4"
"85";"24100";"47.0";"918";"448";"443";"127";"57";"40";"102";"71";"26";"16.0";"4.0";"444";"123";"50";"44";"97";"54";"1";"30";"16";"4";"4";"11";"0";"0";"2";"0";"2";"2";"0";"4"
"86";"24200";"47.0";"1131";"619";"617";"182";"86";"56";"109";"131";"35";"16.0";"2.0";"616";"169";"68";"61";"96";"129";"0";"40";"17";"4";"1";"16";"0";"1";"3";"0";"4";"4";"1";"2"
"87";"24300";"47.0";"1028";"547";"542";"156";"67";"54";"106";"98";"31";"27.0";"3.0";"542";"158";"68";"54";"103";"84";"0";"23";"15";"14";"1";"10";"2";"0";"3";"0";"2";"2";"2";"1"
"88";"24400";"47.0";"1328";"653";"648";"206";"78";"49";"134";"106";"41";"31.0";"3.0";"652";"194";"87";"49";"125";"102";"2";"35";"27";"6";"3";"15";"0";"1";"0";"0";"2";"1";"0";"3"
"89";"24500";"47.0";"1500";"702";"687";"212";"81";"66";"202";"70";"32";"18.0";"6.0";"695";"195";"82";"55";"192";"70";"4";"37";"18";"11";"3";"12";"2";"3";"2";"3";"0";"2";"0";"4"
"90";"24700";"47.0";"1079";"477";"469";"137";"70";"25";"138";"57";"27";"10.0";"5.0";"471";"119";"58";"27";"132";"58";"3";"35";"12";"4";"3";"6";"1";"3";"1";"0";"6";"1";"0";"2"
"91";"24800";"47.0";"1009";"461";"459";"165";"44";"30";"126";"56";"26";"10.0";"2.0";"459";"150";"41";"34";"123";"53";"0";"31";"11";"1";"0";"8";"1";"2";"0";"0";"1";"1";"0";"2"
"92";"25100";"47.0";"1450";"607";"598";"121";"117";"29";"140";"116";"26";"39.0";"10.0";"599";"112";"108";"38";"131";"108";"4";"21";"22";"10";"3";"28";"2";"0";"0";"0";"3";"6";"1";"2"
"93";"25200";"47.0";"1237";"522";"514";"114";"96";"33";"93";"104";"30";"37.0";"7.0";"517";"110";"79";"38";"90";"88";"5";"28";"13";"9";"10";"30";"3";"2";"2";"0";"3";"2";"0";"5"
"94";"25300";"47.0";"1392";"614";"607";"181";"58";"54";"188";"53";"49";"21.0";"3.0";"607";"167";"53";"46";"176";"48";"4";"57";"14";"8";"4";"14";"0";"1";"3";"0";"1";"2";"0";"9"
"95";"25400";"47.0";"1762";"689";"684";"154";"111";"37";"155";"131";"34";"56.0";"6.0";"687";"146";"113";"41";"146";"110";"2";"28";"25";"17";"7";"35";"2";"0";"2";"0";"5";"3";"0";"5"
"96";"25500";"47.0";"1683";"633";"624";"163";"89";"48";"132";"118";"32";"40.0";"2.0";"623";"149";"93";"53";"128";"99";"2";"31";"13";"13";"3";"21";"0";"0";"2";"1";"3";"4";"4";"4"
