;A
221;"31;7;FDP;Freie;Demokratische;Partei;Pfüller,;Michael"
222;"31;8;FREIE;WÄHLER;FREIE;WÄHLER;Soudah,;André"
223;"31;11;Die;PARTEI;Partei;für;Arbeit,Nagy,;Michael"
224;"32;1;CDU;Christlich;Demokratische;Union;Deutschlands;Rost,;Wolf-Dietrich"
225;"32;2;DIE;LINKE;DIE;LINKE;Götze,;Marco"
226;"32;3;SPD;Sozialdemokratische;Partei;Deutschlands;Mann,;Holger"
227;"32;4;AfD;Alternative;für;Deutschland;Keller,;Tobias;Martin"
228;"32;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Spenn,;Johannes"
229;"32;7;FDP;Freie;Demokratische;Partei;Franke,;Kristin"
230;"32;8;FREIE;WÄHLER;FREIE;WÄHLER;Weidinger,;Thomas"
231;"32;12;BüSo;Bürgerrechtsbewegung;Solidarität;Fellauer,;Madeleine"
232;"33;1;CDU;Christlich;Demokratische;Union;Deutschlands;Gasse,;Holger"
233;"33;2;DIE;LINKE;DIE;LINKE;Sodann,;Franz"
234;"33;3;SPD;Sozialdemokratische;Partei;Deutschlands;Schmidt,;Michael"
235;"33;4;AfD;Alternative;für;Deutschland;Hentschel,;Holger"
236;"33;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Gerber,;Dr.;Daniel"
237;"33;7;FDP;Freie;Demokratische;Partei;Kraus,;Christof"
238;"33;8;FREIE;WÄHLER;FREIE;WÄHLER;Baier,;Robert"
239;"33;11;Die;PARTEI;Partei;für;Arbeit,;Gonsior,;Julius"
240;"33;12;BüSo;Bürgerrechtsbewegung;Solidarität;Scharf,;Jürgen"
241;"33;26;WIR;sind;LEIPZIGER;WIR;sind;LEIPZIGER;Kohl,;Ralf;Detlef"
242;"34;1;CDU;Christlich;Demokratische;Union;Deutschlands;Kiesewetter,;Jörg"
243;"34;2;DIE;LINKE;DIE;LINKE;Stoye,;Christian"
244;"34;3;SPD;Sozialdemokratische;Partei;Deutschlands;Holke,;Martin"
245;"34;4;AfD;Alternative;für;Deutschland;Ulbrich,;Roland;Walter;Hermann"
246;"34;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Schneider,;Anna"
247;"34;7;FDP;Freie;Demokratische;Partei;Mainz,;Detlef;Kaspar"
248;"34;8;FREIE;WÄHLER;FREIE;WÄHLER;Corsa,;Constantin"
249;"35;1;CDU;Christlich;Demokratische;Union;Deutschlands;Gemkow,;Sebastian"
250;"35;2;DIE;LINKE;DIE;LINKE;Neuhaus-Wartenberg,;Luise"
251;"35;3;SPD;Sozialdemokratische;Partei;Deutschlands;Teuber,;Mathias"
252;"35;4;AfD;Alternative;für;Deutschland;Bochmann,;René"
253;"35;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Kunze,;Enrico"
254;"35;7;FDP;Freie;Demokratische;Partei;Schieritz,;Stefan"
255;"35;8;FREIE;WÄHLER;FREIE;WÄHLER;Rabe,;Birgit"
256;"36;1;CDU;Christlich;Demokratische;Union;Deutschlands;Merbitz,;Bernd"
257;"36;2;DIE;LINKE;DIE;LINKE;Bagusat-Sehrt,;Michael"
258;"36;3;SPD;Sozialdemokratische;Partei;Deutschlands;Winkler,;Volkmar"
259;"36;4;AfD;Alternative;für;Deutschland;Petzold,;Gudrun"
260;"36;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Scheller,;Johanna;Barbara"
261;"36;7;FDP;Freie;Demokratische;Partei;Waitz,;Christoph"
262;"36;8;FREIE;WÄHLER;FREIE;WÄHLER;Wendt,;Denise"
263;"37;1;CDU;Christlich;Demokratische;Union;Deutschlands;Mackenroth,;Geert"
264;"37;2;DIE;LINKE;DIE;LINKE;Knebel,;Uta"
265;"37;3;SPD;Sozialdemokratische;Partei;Deutschlands;Drechsler,;Amrei"
266;"37;4;AfD;Alternative;für;Deutschland;Hütter,;Carsten"
267;"37;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Meier,;Katja"
268;"37;7;FDP;Freie;Demokratische;Partei;Borner,;Sven"
269;"37;8;FREIE;WÄHLER;FREIE;WÄHLER;Wamser,;Dieter"
270;"38;1;CDU;Christlich;Demokratische;Union;Deutschlands;Fischer,;Sebastian"
271;"38;2;DIE;LINKE;DIE;LINKE;Richter,;Erik;Christopher"
272;"38;3;SPD;Sozialdemokratische;Partei;Deutschlands;Schittko,;Katja"
273;"38;4;AfD;Alternative;für;Deutschland;Beger,;Mario"
274;"38;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Berndt,;Thomas"
275;"38;7;FDP;Freie;Demokratische;Partei;Pursche,;Berthold"
276;"38;8;FREIE;WÄHLER;FREIE;WÄHLER;Langerfeld,;André"
277;"39;1;CDU;Christlich;Demokratische;Union;Deutschlands;Kuge,;Daniela"
278;"39;2;DIE;LINKE;DIE;LINKE;Hellmann,;Tilo"
279;"39;3;SPD;Sozialdemokratische;Partei;Deutschlands;Richter,;Frank"
280;"39;4;AfD;Alternative;für;Deutschland;Kirste,;Thomas"
281;"39;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Wengenmayr,;Martin"
282;"39;7;FDP;Freie;Demokratische;Partei;Bahrmann,;Martin"
283;"39;8;FREIE;WÄHLER;FREIE;WÄHLER;Reimann-Bernhardt,;Dr.;Brit"
284;"40;1;CDU;Christlich;Demokratische;Union;Deutschlands;Rößler,;Dr.;Matthias"
285;"40;2;DIE;LINKE;DIE;LINKE;Borowitzki,;Daniel;Falco"
286;"40;3;SPD;Sozialdemokratische;Partei;Deutschlands;Dulig,;Martin"
287;"40;4;AfD;Alternative;für;Deutschland;Hein,;René"
288;"40;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Plessing,;Dr.;Tobias"
289;"40;7;FDP;Freie;Demokratische;Partei;Wolf,;Alexander"
290;"40;8;FREIE;WÄHLER;FREIE;WÄHLER;Kroemer,;Bernhard"
291;"40;12;BüSo;Bürgerrechtsbewegung;Solidarität;Born,;Thomas"
292;"41;1;CDU;Christlich;Demokratische;Union;Deutschlands;Hartmann,;Christian"
293;"41;2;DIE;LINKE;DIE;LINKE;Buddeberg,;Sarah"
294;"41;3;SPD;Sozialdemokratische;Partei;Deutschlands;Chaimite,;Emiliano"
295;"41;4;AfD;Alternative;für;Deutschland;Wilke,;Karin"
296;"41;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Lippmann,;Valentin"
297;"41;7;FDP;Freie;Demokratische;Partei;Günther,;Torsten"
298;"41;11;Die;PARTEI;Partei;für;Arbeit,Hinze,;Sören"
299;"42;1;CDU;Christlich;Demokratische;Union;Deutschlands;Piwarz,;Christian"
300;"42;2;DIE;LINKE;DIE;LINKE;Fehst,;Franziska"
301;"42;3;SPD;Sozialdemokratische;Partei;Deutschlands;Sturm,;Kristin"
302;"42;4;AfD;Alternative;für;Deutschland;Wendt,;André"
303;"42;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Mühle,;Andrea"
304;"42;7;FDP;Freie;Demokratische;Partei;Mogwitz,;Andreas"
305;"43;1;CDU;Christlich;Demokratische;Union;Deutschlands;Flemming,;Ingo"
306;"43;2;DIE;LINKE;DIE;LINKE;Holowenko,;Anne"
307;"43;3;SPD;Sozialdemokratische;Partei;Deutschlands;Pallas,;Albrecht"
308;"43;4;AfD;Alternative;für;Deutschland;Ladzinski,;Thomas"
309;"43;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Mehn,;Henriette"
310;"43;7;FDP;Freie;Demokratische;Partei;Kunz,;Thomas"
311;"43;11;Die;PARTEI;Partei;für;Arbeit,;Hencker,;Philipp"
312;"44;1;CDU;Christlich;Demokratische;Union;Deutschlands;Modschiedler,;Martin"
313;"44;2;DIE;LINKE;DIE;LINKE;Wirtz,;Tilo"
314;"44;3;SPD;Sozialdemokratische;Partei;Deutschlands;Kreß,;Christian"
315;"44;4;AfD;Alternative;für;Deutschland;Jost,;Martina"
316;"44;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Herrmann,;Dr.;Dietrich"
317;"44;7;FDP;Freie;Demokratische;Partei;Görnitz,;Steve"
318;"44;12;BüSo;Bürgerrechtsbewegung;Solidarität;Frömmel,;Holger"
319;"45;1;CDU;Christlich;Demokratische;Union;Deutschlands;Thiele,;Gunter"
320;"45;2;DIE;LINKE;DIE;LINKE;Schollbach,;André"
321;"45;3;SPD;Sozialdemokratische;Partei;Deutschlands;Friedel,;Sabine"
322;"45;4;AfD;Alternative;für;Deutschland;Keiler,;Dr.;Joachim"
323;"45;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Löser,;Thomas"
324;"45;7;FDP;Freie;Demokratische;Partei;Streller,;Lydia"
325;"45;11;Die;PARTEI;Partei;für;Arbeit,;Brock,;Charlotte"
326;"45;12;BüSo;Bürgerrechtsbewegung;Solidarität;Gründler,;Michael"
327;"46;1;CDU;Christlich;Demokratische;Union;Deutschlands;Rohwer,;Lars"
328;"46;2;DIE;LINKE;DIE;LINKE;Kunkel,;Jenny"
329;"46;3;SPD;Sozialdemokratische;Partei;Deutschlands;Koch,;Sophie"
330;"46;4;AfD;Alternative;für;Deutschland;Harlaß,;Andreas"
331;"46;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Hammecke,;Lucie"
332;"46;7;FDP;Freie;Demokratische;Partei;Hase,;Holger"
333;"47;1;CDU;Christlich;Demokratische;Union;Deutschlands;Klepsch,;Barbara"
334;"47;2;DIE;LINKE;DIE;LINKE;Gensichen,;Uta"
335;"47;3;SPD;Sozialdemokratische;Partei;Deutschlands;Drews,;Vincent"
336;"47;4;AfD;Alternative;für;Deutschland;Zickler,;Hans-Jürgen"
337;"47;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Krause,;Susanne"
338;"47;7;FDP;Freie;Demokratische;Partei;Schubert,;Stefan"
339;"47;11;Die;PARTEI;Partei;für;Arbeit,;Küttner,;Robert"
340;"47;12;BüSo;Bürgerrechtsbewegung;Solidarität;Heider,;Boris"
341;"48;1;CDU;Christlich;Demokratische;Union;Deutschlands;Wöller,;Prof.;Dr.;Roland"
342;"48;2;DIE;LINKE;DIE;LINKE;Meiwald,;Uta-Verena"
343;"48;3;SPD;Sozialdemokratische;Partei;Deutschlands;Forberg,;Daniela"
344;"48;4;AfD;Alternative;für;Deutschland;Mayer,;Norbert;Otto"
345;"48;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Kummer,;Ines"
346;"48;7;FDP;Freie;Demokratische;Partei;Brandau,;Lothar"
347;"48;8;FREIE;WÄHLER;FREIE;WÄHLER;Hofmann,;Andreas"
348;"48;24;V-Partei³;V-Partei³;-;Partei;für;Veränderung,;Hanke,;Martina"
349;"49;1;CDU;Christlich;Demokratische;Union;Deutschlands;Dombois,;Andrea"
350;"49;2;DIE;LINKE;DIE;LINKE;Wolf,;Steffen"
351;"49;3;SPD;Sozialdemokratische;Partei;Deutschlands;Neukirch,;Dagmar"
352;"49;4;AfD;Alternative;für;Deutschland;Barth,;André"
353;"49;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Weiner,;Holger"
354;"49;7;FDP;Freie;Demokratische;Partei;Weinholtz,;Peter"
355;"49;8;FREIE;WÄHLER;FREIE;WÄHLER;Kirsten,;Thomas"
356;"50;1;CDU;Christlich;Demokratische;Union;Deutschlands;Wehner,;Oliver"
357;"50;2;DIE;LINKE;DIE;LINKE;Richter,;Lutz"
358;"50;3;SPD;Sozialdemokratische;Partei;Deutschlands;Wätzig,;Ralf"
359;"50;4;AfD;Alternative;für;Deutschland;Zwerg,;Jan-Oliver;Aldo"
360;"50;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Kusic,;Martin"
361;"50;7;FDP;Freie;Demokratische;Partei;Bläsner,;Norbert"
362;"50;8;FREIE;WÄHLER;FREIE;WÄHLER;Rohrbeck,;Dirk"
363;"50;12;BüSo;Bürgerrechtsbewegung;Solidarität;Kamke,;Doris"
364;"50;14;Blaue;#TeamPetry;Die;blaue;Partei;Petry,;Dr.;Frauke"
365;"51;1;CDU;Christlich;Demokratische;Union;Deutschlands;Michel,;Jens"
366;"51;2;DIE;LINKE;DIE;LINKE;Winkler,;Thomas"
367;"51;3;SPD;Sozialdemokratische;Partei;Deutschlands;Goebel,;Peter"
368;"51;4;AfD;Alternative;für;Deutschland;Teichmann,;Ivo"
369;"51;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Becker,;Irina"
370;"51;7;FDP;Freie;Demokratische;Partei;Kowalow,;Christian"
371;"51;8;FREIE;WÄHLER;FREIE;WÄHLER;Beleites,;Michael"
372;"51;21;Dr.;Müller;Dr.;Müller;Müller,;Dr.;Johannes"
373;"51;23;Schaar;Schaar;Schaar,;Eckhard"
374;"52;1;CDU;Christlich;Demokratische;Union;Deutschlands;Wissel,;Patricia"
375;"52;2;DIE;LINKE;DIE;LINKE;Muster,;Felix"
376;"52;3;SPD;Sozialdemokratische;Partei;Deutschlands;Hennersdorf,;Anja"
377;"52;4;AfD;Alternative;für;Deutschland;Peschel,;Frank"
378;"52;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Jahn-Bresan,;Dr.;Peter"
379;"52;7;FDP;Freie;Demokratische;Partei;Rosenberg,;Sirko"
380;"52;8;FREIE;WÄHLER;FREIE;WÄHLER;Senft,;Walter;Georg"
381;"53;1;CDU;Christlich;Demokratische;Union;Deutschlands;Mikwauschk,;Aloysius"
382;"53;2;DIE;LINKE;DIE;LINKE;Junge,;Marion"
383;"53;3;SPD;Sozialdemokratische;Partei;Deutschlands;Michel,;Kathrin"
384;"53;4;AfD;Alternative;für;Deutschland;Schultze,;Christian;Friedrich"
385;"53;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Kirchhübel,;Gerd"
386;"53;7;FDP;Freie;Demokratische;Partei;Schniebel,;Matthias"
387;"53;8;FREIE;WÄHLER;FREIE;WÄHLER;Hutschalik,;Günter;Klaus"
388;"54;1;CDU;Christlich;Demokratische;Union;Deutschlands;Kockert,;Mathias"
389;"54;2;DIE;LINKE;DIE;LINKE;Lang,;Silvio"
390;"54;3;SPD;Sozialdemokratische;Partei;Deutschlands;Dubiel-Umlauft,;André"
391;"54;4;AfD;Alternative;für;Deutschland;Schreyer,;Timo"
392;"54;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Bitzka,;Jens"
393;"54;7;FDP;Freie;Demokratische;Partei;Zastrow,;Holger"
394;"54;8;FREIE;WÄHLER;FREIE;WÄHLER;Linack,;Marcel"
395;"55;1;CDU;Christlich;Demokratische;Union;Deutschlands;Hirche,;Frank;Uwe"
396;"55;2;DIE;LINKE;DIE;LINKE;Büchner,;Ralph"
397;"55;3;SPD;Sozialdemokratische;Partei;Deutschlands;Stanulla,;Kevin"
398;"55;4;AfD;Alternative;für;Deutschland;Schwietzer,;Doreen"
399;"55;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Vetter,;Tom"
400;"55;7;FDP;Freie;Demokratische;Partei;Deutschmann,;Ina"
401;"55;8;FREIE;WÄHLER;FREIE;WÄHLER;Nasdala,;Dirk"
402;"56;1;CDU;Christlich;Demokratische;Union;Deutschlands;Schiemann,;Marko"
403;"56;2;DIE;LINKE;DIE;LINKE;Kosel,;Heiko"
404;"56;3;SPD;Sozialdemokratische;Partei;Deutschlands;Baumann-Haßke,;Harald"
405;"56;4;AfD;Alternative;für;Deutschland;Urban,;Jörg"
406;"56;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Kühn,;Herbert;Siegfried"
407;"56;7;FDP;Freie;Demokratische;Partei;Hauschild,;Mike"
408;"56;8;FREIE;WÄHLER;FREIE;WÄHLER;Zeidler,;Ralf"
409;"56;12;BüSo;Bürgerrechtsbewegung;Solidarität;Faku,;Christoph;Tobias;Mzingisi"
410;"57;1;CDU;Christlich;Demokratische;Union;Deutschlands;Havenstein,;Tilmann"
411;"57;2;DIE;LINKE;DIE;LINKE;Mertsching,;Antonia"
412;"57;3;SPD;Sozialdemokratische;Partei;Deutschlands;Baum,;Thomas"
413;"57;4;AfD;Alternative;für;Deutschland;Kuhnert,;Roberto"
414;"57;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Pilz,;Thomas"
415;"57;7;FDP;Freie;Demokratische;Partei;Grubert,;Sebastian"
416;"57;8;FREIE;WÄHLER;FREIE;WÄHLER;Hänchen,;Siegmund"
417;"58;1;CDU;Christlich;Demokratische;Union;Deutschlands;Kretschmer,;Michael"
418;"58;2;DIE;LINKE;DIE;LINKE;Schultze,;Mirko"
419;"58;3;SPD;Sozialdemokratische;Partei;Deutschlands;Thomas,;Mike"
420;"58;4;AfD;Alternative;für;Deutschland;Wippel,;Sebastian"
421;"58;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Schubert,;Franziska"
422;"58;7;FDP;Freie;Demokratische;Partei;Waurich,;Stefan"
423;"58;8;FREIE;WÄHLER;FREIE;WÄHLER;Hannig,;Frank"
424;"58;11;Die;PARTEI;Partei;für;Arbeit,;Krause,;Michael"
425;"58;12;BüSo;Bürgerrechtsbewegung;Solidarität;Jakowitz,;Dietmar"
426;"59;1;CDU;Christlich;Demokratische;Union;Deutschlands;Reuter,;Matthias"
427;"59;2;DIE;LINKE;DIE;LINKE;Wobst,;Marie"
428;"59;3;SPD;Sozialdemokratische;Partei;Deutschlands;Kuhne,;Thomas"
429;"59;4;AfD;Alternative;für;Deutschland;Kumpf,;Mario"
430;"59;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Pfeiffer-Prauß,;Sylvio"
431;"59;7;FDP;Freie;Demokratische;Partei;Schlagehan,;Christine"
432;"59;8;FREIE;WÄHLER;FREIE;WÄHLER;Hertrampf,;Rico"
433;"60;1;CDU;Christlich;Demokratische;Union;Deutschlands;Meyer,;Dr.;Stephan"
434;"60;2;DIE;LINKE;DIE;LINKE;Neumann,;Tuomo"
435;"60;3;SPD;Sozialdemokratische;Partei;Deutschlands;Herrmann,;Andreas"
436;"60;4;AfD;Alternative;für;Deutschland;Siegert,;Christian"
437;"60;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Mühlich,;Marie"
438;"60;7;FDP;Freie;Demokratische;Partei;Grüner,;Hans"
